,artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
0,Great Lake Swimmers,Logged In,Kevin,M,0,Arellano,215.11791,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Your Rocky Spine,200,1542930000000.0,66.0
1,Soziedad Alkoholika,Logged In,Kevin,M,1,Arellano,204.7473,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Va Bien,200,1542930000000.0,66.0
2,Franz Ferdinand,Logged In,Kevin,M,2,Arellano,172.01587,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Eleanor Put Your Boots On,200,1542930000000.0,66.0
3,Modest Mouse,Logged In,Kevin,M,3,Arellano,209.52771,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Float On,200,1542930000000.0,66.0
4,Adam Lambert,Logged In,Kevin,M,4,Arellano,266.44853,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Aftermath,200,1542930000000.0,66.0
5,Parni Valjak,Logged In,Kevin,M,5,Arellano,259.83955,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Dok si pored mene,200,1542930000000.0,66.0
6,,Logged In,Kevin,M,6,Arellano,,free,"Harrisburg-Carlisle, PA",GET,Home,1540010000000.0,815,,200,1542930000000.0,66.0
7,Flaw,Logged In,Kevin,M,7,Arellano,265.89995,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Not Enough,200,1542930000000.0,66.0
8,Foo Fighters,Logged In,Kevin,M,8,Arellano,250.14812,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Everlong,200,1542930000000.0,66.0
9,ÃÂngeles del Infierno,Logged In,Kevin,M,9,Arellano,267.25832,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,Si TÃÂº No EstÃÂ¡s AquÃÂ­,200,1542930000000.0,66.0
10,Smash Mouth,Logged In,Kevin,M,10,Arellano,216.39791,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,815,All Star,200,1542930000000.0,66.0
11,,Logged In,Ayla,F,0,Johnson,,free,"Santa Rosa, CA",GET,Home,1540880000000.0,839,,200,1542930000000.0,63.0
12,BeyoncÃÂ© feat. Jay-Z,Logged In,Ayla,F,1,Johnson,235.93751,free,"Santa Rosa, CA",PUT,NextSong,1540880000000.0,839,Crazy In Love,200,1542930000000.0,63.0
